Timestamp,TMP(kpa) 1,TMP(kpa) 2,TMP(kpa) 3,TMP(kpa) 4,TMP(kpa) 5,TMP(kpa) 6,PH1,PH2,ORP1,ORP2,Motor1,Motor2,Motor3,Motor4,Motor5,Motor6,Motor7,Motor8
2025-06-17 07:18:28,472,467,470,467,468,466,3.985,4.649,302.7,312.2,0,0,0,0,0,0,0,0
2025-06-17 07:18:28,467,466,468,463,467,463,3.985,4.649,302.7,312.1,0,0,0,0,0,0,0,0
2025-06-17 07:18:28,472,468,467,465,466,462,3.985,4.649,302.7,312.1,0,0,0,0,0,0,0,0
2025-06-17 07:18:28,469,465,466,464,464,462,3.984,4.648,302.8,312.1,0,0,0,0,0,0,0,0
2025-06-17 07:18:29,468,465,469,464,466,464,3.984,4.648,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:29,468,465,469,463,466,463,3.984,4.648,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:29,467,464,468,461,465,462,3.983,4.648,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:29,467,465,466,461,465,462,3.983,4.648,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:29,465,465,466,461,467,462,3.983,4.648,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:29,467,465,466,464,465,462,3.983,4.648,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:29,467,467,467,463,465,463,3.983,4.648,302.8,311.9,0,0,0,0,0,0,0,0
2025-06-17 07:18:30,469,466,468,464,468,464,3.983,4.648,302.8,311.9,0,0,0,0,0,0,0,0
2025-06-17 07:18:30,471,467,468,466,467,465,3.982,4.648,302.8,311.9,0,0,0,0,0,0,0,0
2025-06-17 07:18:30,471,467,469,466,468,467,3.982,4.648,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:30,469,467,470,465,468,465,3.982,4.648,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:30,470,470,471,464,468,464,3.982,4.648,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:30,469,467,469,465,468,463,3.982,4.648,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:30,471,468,469,462,468,465,3.982,4.648,302.9,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:31,471,466,467,463,465,463,3.981,4.648,302.9,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:31,469,468,468,465,466,464,3.981,4.648,302.9,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:31,466,463,468,460,464,462,3.981,4.648,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:31,468,466,466,464,467,464,3.981,4.649,302.8,312,0,0,0,0,0,0,0,0
2025-06-17 07:18:31,469,466,467,462,466,462,3.981,4.649,302.8,312.1,0,0,0,0,0,0,0,0
2025-06-17 07:18:31,469,466,467,464,466,466,3.981,4.649,302.8,312.1,0,0,0,0,0,0,0,0
2025-06-17 07:18:31,468,466,466,465,467,462,3.981,4.648,302.8,312.1,0,0,0,0,0,0,0,0
2025-06-17 07:18:32,471,468,467,465,466,463,3.981,4.648,302.8,312.1,0,0,0,0,0,0,0,0
2025-06-17 07:18:32,466,465,467,461,464,462,3.981,4.646,302.8,312.1,0,0,0,0,0,0,0,0
2025-06-17 07:18:32,470,465,468,462,464,463,3.98,4.646,302.8,312.2,0,0,0,0,0,0,0,0
2025-06-17 07:18:32,469,465,467,461,465,462,3.98,4.646,302.8,312.2,0,0,0,0,0,0,0,0
2025-06-17 07:18:32,470,466,470,464,468,465,3.98,4.645,302.8,312.2,0,0,0,0,0,0,0,0
2025-06-17 07:18:32,470,466,468,463,467,464,3.979,4.645,302.8,312.3,0,0,0,0,0,0,0,0
2025-06-17 07:18:32,471,466,466,462,464,464,3.979,4.645,302.8,312.3,0,0,0,0,0,0,0,0
2025-06-17 07:18:33,466,465,466,459,466,461,3.98,4.645,302.8,312.3,0,0,0,0,0,0,0,0
2025-06-17 07:18:33,468,466,466,463,466,463,3.98,4.645,302.8,312.4,0,0,0,0,0,0,0,0
2025-06-17 07:18:33,470,469,469,463,466,465,3.98,4.645,302.8,312.4,0,0,0,0,0,0,0,0
2025-06-17 07:18:33,469,466,469,464,464,463,3.978,4.645,302.7,312.4,0,0,0,0,0,0,0,0
2025-06-17 07:18:33,467,468,469,465,469,463,3.978,4.645,302.7,312.4,0,0,0,0,0,0,0,0
2025-06-17 07:18:33,469,468,469,462,466,466,3.978,4.645,302.6,312.4,0,0,0,0,0,0,0,0
2025-06-17 07:18:33,468,465,467,462,465,465,3.979,4.645,302.6,312.4,0,0,0,0,0,0,0,0
2025-06-17 07:18:34,468,466,466,462,465,462,3.979,4.645,302.6,312.5,0,0,0,0,0,0,0,0
2025-06-17 07:18:34,467,467,466,463,465,463,3.979,4.645,302.6,312.5,0,0,0,0,0,0,0,0
2025-06-17 07:18:34,469,465,468,463,468,463,3.978,4.645,302.6,312.5,0,0,0,0,0,0,0,0
2025-06-17 07:18:34,465,466,465,461,467,463,3.978,4.645,302.6,312.6,0,0,0,0,0,0,0,0
2025-06-17 07:18:34,468,468,471,463,466,464,3.978,4.645,302.7,312.6,0,0,0,0,0,0,0,0
2025-06-17 07:18:34,469,468,467,464,468,465,3.978,4.645,302.7,312.6,0,0,0,0,0,0,0,0
2025-06-17 07:18:34,469,466,468,462,465,463,3.978,4.645,302.7,312.5,0,0,0,0,0,0,0,0
2025-06-17 07:18:35,469,468,469,465,470,465,3.978,4.645,302.7,312.5,0,0,0,0,0,0,0,0
2025-06-17 07:18:35,472,468,471,464,469,465,3.978,4.644,302.7,312.5,0,0,0,0,0,0,0,0
2025-06-17 07:18:35,469,467,469,463,466,464,3.978,4.644,302.7,312.4,0,0,0,0,0,0,0,0
2025-06-17 07:18:35,468,468,470,462,468,463,3.978,4.645,302.8,312.4,0,0,0,0,0,0,0,0
2025-06-17 07:18:35,469,466,471,464,469,464,3.978,4.645,302.8,312.4,0,0,0,0,0,0,0,0
2025-06-17 07:18:35,468,468,466,463,466,462,3.978,4.645,302.8,312.3,0,0,0,0,0,0,0,0
2025-06-17 07:18:36,467,469,469,464,467,464,3.978,4.645,302.7,312.3,0,0,0,0,0,0,0,0
2025-06-17 07:18:36,468,467,470,464,468,463,3.979,4.645,302.7,312.3,0,0,0,0,0,0,0,0
